"bitcoin"|0.004431|10
"ethereum"|0.0153081|10
"ethereum2"|0.01244117|10
"chainlink"|0.086015018|10
"chainlink2"|0.09068143|10
"hedera-hashgraph"|15.589|10
"vechain"|259|10
"oasis-network"|120.99|10
"pundi-x"|33.127|10
